distance,transect_no,position,plant_number,plant_species,wet,conductivity
259,6,NA,NA,lance-leaved aster,11.4,92
259,6,NA,NA,lance-leaved aster,13.3,101
259,6,NA,NA,lance-leaved aster,13.3,101
444,9,3.4,NA,lance-leaved aster,41.6,176
143,3,1,1,lance-leaved aster,39.7,326
143,3,2,2,lance-leaved aster,31.5,1040
143,3,3,4,lance-leaved aster,38.2,212
143,3,5,6,lance-leaved aster,31.9,160
143,3,6,8,lance-leaved aster,46.4,343
143,3,7,10,lance-leaved aster,41.5,158
143,3,8,11,lance-leaved aster,38.3,242
143,3,9,13,lance-leaved aster,13.2,325
143,3,10,14,lance-leaved aster,32.6,459
143,3,11,16,lance-leaved aster,30.5,287
143,3,12,19,lance-leaved aster,31.3,108
143,3,13,21,lance-leaved aster,12.8,93
143,3,14,25,lance-leaved aster,24.9,77
143,3,15,27,lance-leaved aster,30.4,86
316,7,1,33,lance-leaved aster,24.7,504
316,7,3,37,lance-leaved aster,25.8,85
316,7,4,39,lance-leaved aster,32.2,98
316,7,5,40,lance-leaved aster,31.3,89
316,7,8,46,lance-leaved aster,34.5,77
316,7,9,48,lance-leaved aster,23.2,72
316,7,11,53,lance-leaved aster,28.9,75
143,3,16,28,New England aster,22,84
222,5,4.5,NA,New England aster,27.9,72
372,8,2.7,NA,New England aster,41.1,111
70,2,NA,5,New England aster,27.1,135
19,1,15.3,3,riverbank rye,29.8,217
70,2,NA,7,riverbank rye,26.4,98
143,3,2,3,riverbank rye,31.5,1040
143,3,12,17,riverbank rye,31.3,108
143,3,14,23,riverbank rye,24.9,77
316,7,6,42,riverbank rye,26.1,81
316,7,8,45,riverbank rye,32.3,69
316,7,12,54,riverbank rye,16.2,186
316,7,14,56,riverbank rye,13.5,115
259,6,NA,NA,riverbank rye,34,548
259,6,NA,NA,riverbank rye,21.2,109
259,6,NA,NA,riverbank rye,15,98
259,6,NA,NA,riverbank rye,18.5,97
259,6,NA,NA,riverbank rye,16.2,98
222,5,4.5,NA,riverbank rye,27.9,72
222,5,6.5,NA,riverbank rye,26.3,125
222,5,8.4,NA,riverbank rye,18.5,87
222,5,12,NA,riverbank rye,22.5,81
222,5,16.5,NA,riverbank rye,27.2,122
372,8,4.1,NA,riverbank rye,45.4,107
372,8,5.8,NA,riverbank rye,44.1,81
372,8,7.5,NA,riverbank rye,33.6,92
372,8,8.9,NA,riverbank rye,23.3,123
372,8,12,NA,riverbank rye,20.1,87
19,1,15.3,1,Virginia rye,32.1,265
19,1,15.3,2,Virginia rye,39,157
19,1,16.2,5,Virginia rye,34,169
19,1,17.8,6,Virginia rye,43.3,274
19,1,5,7,Virginia rye,28.3,515
19,1,8,8,Virginia rye,33.9,285
70,2,NA,3,Virginia rye,29.5,167
70,2,NA,6,Virginia rye,26.4,98
70,2,NA,8,Virginia rye,28.3,328
143,3,6,7,Virginia rye,46.4,242
143,3,8,12,Virginia rye,38.3,242
143,3,14,22,Virginia rye,24.9,77
143,3,16,30,Virginia rye,22,84
316,7,8,44,Virginia rye,32.3,69
316,7,10,50,Virginia rye,32,86
259,6,NA,NA,Virginia rye,34,548
259,6,NA,NA,Virginia rye,25.1,86
259,6,NA,NA,Virginia rye,24.9,86
259,6,NA,NA,Virginia rye,21.2,109
259,6,NA,NA,Virginia rye,15,98
259,6,NA,NA,Virginia rye,18.5,97
259,6,NA,NA,Virginia rye,16.2,98
444,9,5.9,NA,Virginia rye,50,200
444,9,18.6,NA,Virginia rye,30.3,93
222,5,2.3,NA,Virginia rye,2.8,1
372,8,4.1,NA,Virginia rye,45.4,107
372,8,5.8,NA,Virginia rye,44.1,81
372,8,7.5,NA,Virginia rye,33.6,92
372,8,8.9,NA,Virginia rye,23.3,123
372,8,10.5,NA,Virginia rye,12.4,121
372,8,12,NA,Virginia rye,20.1,87
372,8,15.6,NA,Virginia rye,11.8,148
222,5,4.5,NA,Virginia rye,27.9,72
222,5,6.5,NA,Virginia rye,26.3,125
222,5,8.4,NA,Virginia rye,18.5,87
222,5,12,NA,Virginia rye,22.5,81
222,5,16.5,NA,Virginia rye,27.2,122
